,Time,Open_buy,High_buy,Low_buy,Close_buy,Vol_buy,Open_sell,High_sell,Low_sell,Close_sell,Vol_sell
8380,41149,1651100,1651100,1651100,1651100,4,1651200,1651200,1651200,1651200,4
8381,41150,1651100,1651100,1651100,1651100,7,1651200,1651200,1651200,1651200,7
8382,41151,1651100,1651100,1651100,1651100,3,1651200,1651200,1651200,1651200,3
8383,41153,1651100,1651100,1651100,1651100,4,1651200,1651200,1651200,1651200,4
8384,41154,1651100,1651100,1651100,1651100,1,1651200,1651200,1651200,1651200,1
8385,41155,1651100,1651100,1651100,1651100,1,1651200,1651200,1651200,1651200,1
8386,41156,1651100,1651100,1651100,1651100,1,1651200,1651200,1651200,1651200,1
8387,41157,1651100,1651100,1651100,1651100,7,1651200,1651200,1651200,1651200,7
8388,41158,1651100,1651100,1651100,1651100,1,1651200,1651200,1651200,1651200,1
8389,41159,1651100,1651100,1651100,1651100,8,1651200,1651200,1651200,1651200,8
8390,41160,1651100,1651200,1651100,1651200,37,1651200,1651300,1651200,1651300,37
8391,41161,1651200,1651200,1651200,1651200,2,1651300,1651300,1651300,1651300,2
8392,41162,1651200,1651200,1651200,1651200,9,1651300,1651300,1651300,1651300,9
8393,41163,1651200,1651300,1651200,1651300,41,1651300,1651500,1651400,1651500,41
8394,41164,1651300,1651300,1651300,1651300,10,1651500,1651500,1651500,1651500,10
8395,41165,1651300,1651300,1651300,1651300,1,1651500,1651500,1651500,1651500,1
8396,41166,1651300,1651300,1651300,1651300,5,1651500,1651500,1651500,1651500,5
8397,41167,1651300,1651300,1651300,1651300,1,1651500,1651500,1651500,1651500,1
8398,41168,1651300,1651300,1651300,1651300,2,1651500,1651500,1651500,1651500,2
8399,41169,1651300,1651300,1651300,1651300,8,1651500,1651500,1651400,1651400,8
8400,41170,1651300,1651300,1651300,1651300,3,1651400,1651400,1651400,1651400,3
8401,41172,1651300,1651300,1651300,1651300,3,1651400,1651400,1651400,1651400,3
8402,41173,1651300,1651300,1651300,1651300,2,1651400,1651400,1651400,1651400,2
8403,41174,1651300,1651300,1651300,1651300,24,1651400,1651400,1651400,1651400,24
8404,41175,1651300,1651300,1651300,1651300,17,1651400,1651400,1651400,1651400,17
8405,41176,1651300,1651300,1651300,1651300,9,1651400,1651400,1651400,1651400,9
8406,41177,1651300,1651300,1651300,1651300,1,1651400,1651400,1651400,1651400,1
8407,41178,1651300,1651300,1651300,1651300,8,1651400,1651400,1651400,1651400,8
8408,41179,1651400,1651400,1651400,1651400,2,1651400,1651400,1651400,1651400,2
8409,41180,1651400,1651400,1651400,1651400,6,1651400,1651400,1651400,1651400,6
8410,41181,1651400,1651400,1651400,1651400,8,1651400,1651500,1651400,1651500,8
8411,41182,1651400,1651400,1651400,1651400,7,1651500,1651500,1651500,1651500,7
8412,41183,1651400,1651400,1651300,1651300,11,1651500,1651500,1651500,1651500,11
8413,41184,1651300,1651300,1651300,1651300,1,1651500,1651500,1651500,1651500,1
8414,41185,1651300,1651300,1651300,1651300,17,1651400,1651400,1651400,1651400,17
8415,41186,1651300,1651300,1651300,1651300,1,1651400,1651400,1651400,1651400,1
8416,41187,1651300,1651300,1651300,1651300,2,1651400,1651400,1651400,1651400,2
8417,41188,1651300,1651300,1651300,1651300,4,1651400,1651400,1651400,1651400,4
8418,41189,1651300,1651300,1651200,1651200,22,1651400,1651400,1651400,1651400,22
8419,41190,1651200,1651200,1651200,1651200,3,1651400,1651400,1651400,1651400,3
8420,41191,1651200,1651200,1651200,1651200,4,1651400,1651400,1651400,1651400,4
8421,41192,1651200,1651200,1651200,1651200,3,1651400,1651400,1651400,1651400,3
8422,41193,1651300,1651300,1651300,1651300,2,1651400,1651400,1651400,1651400,2
8423,41194,1651300,1651300,1651300,1651300,2,1651400,1651400,1651400,1651400,2
8424,41195,1651300,1651300,1651100,1651200,35,1651400,1651400,1651300,1651300,35
8425,41196,1651200,1651200,1651200,1651200,6,1651300,1651300,1651300,1651300,6
8426,41197,1651200,1651200,1651200,1651200,1,1651300,1651300,1651300,1651300,1
8427,41198,1651200,1651200,1651200,1651200,8,1651300,1651300,1651300,1651300,8
8428,41200,1651200,1651200,1651200,1651200,2,1651300,1651300,1651300,1651300,2
8429,41201,1651200,1651200,1651100,1651100,22,1651300,1651300,1651300,1651300,22
8430,41202,1651100,1651100,1651100,1651100,4,1651300,1651300,1651300,1651300,4
8431,41203,1651100,1651100,1651100,1651100,12,1651300,1651300,1651300,1651300,12
8432,41204,1651100,1651000,1651000,1651000,13,1651300,1651300,1651200,1651200,13
8433,41205,1651000,1651000,1651000,1651000,18,1651200,1651200,1651100,1651100,18
8434,41206,1651000,1651000,1651000,1651000,11,1651100,1651100,1651100,1651100,11
8435,41209,1651000,1651000,1651000,1651000,5,1651100,1651100,1651100,1651100,5
8436,41210,1651000,1651000,1651000,1651000,3,1651100,1651100,1651100,1651100,3
8437,41211,1651000,1651000,1651000,1651000,4,1651100,1651100,1651100,1651100,4
8438,41212,1651000,1651000,1651000,1651000,2,1651100,1651100,1651100,1651100,2
8439,41213,1651000,1651000,1651000,1651000,1,1651100,1651100,1651100,1651100,1
8440,41214,1651000,1651000,1651000,1651000,3,1651100,1651100,1651100,1651100,3
8441,41215,1651000,1651100,1651000,1651100,42,1651100,1651200,1651100,1651200,42
8442,41216,1651100,1651100,1651100,1651100,16,1651200,1651300,1651200,1651300,16
8443,41217,1651100,1651100,1651100,1651100,16,1651300,1651300,1651200,1651200,16
8444,41218,1651100,1651100,1651100,1651100,2,1651200,1651200,1651200,1651200,2
8445,41219,1651100,1651100,1651100,1651100,4,1651200,1651200,1651200,1651200,4
8446,41220,1651100,1651100,1651100,1651100,24,1651200,1651200,1651200,1651200,24
8447,41221,1651100,1651100,1651000,1651100,26,1651200,1651200,1651200,1651200,26
8448,41222,1651100,1651100,1651100,1651100,3,1651200,1651200,1651200,1651200,3
8449,41223,1651000,1651000,1651000,1651000,11,1651200,1651200,1651200,1651200,11
8450,41224,1651000,1651000,1651000,1651000,17,1651200,1651200,1651100,1651100,17
8451,41225,1651000,1651000,1650900,1650900,6,1651100,1651100,1651100,1651100,6
8452,41226,1650900,1651000,1650900,1651000,20,1651100,1651200,1651100,1651200,20
8453,41227,1651000,1651000,1651000,1651000,13,1651200,1651200,1651200,1651200,13
8454,41229,1651000,1651000,1651000,1651000,4,1651200,1651200,1651200,1651200,4
8455,41230,1651000,1651000,1651000,1651000,19,1651100,1651100,1651100,1651100,19
8456,41231,1651000,1651000,1651000,1651000,4,1651100,1651100,1651100,1651100,4
8457,41232,1651000,1651000,1651000,1651000,1,1651100,1651100,1651100,1651100,1
8458,41234,1651000,1651000,1651000,1651000,3,1651100,1651100,1651100,1651100,3
8459,41235,1651000,1651000,1651000,1651000,1,1651100,1651100,1651100,1651100,1
8460,41236,1651000,1651000,1651000,1651000,1,1651100,1651100,1651100,1651100,1
8461,41237,1651000,1651000,1651000,1651000,11,1651100,1651100,1651100,1651100,11
8462,41238,1651000,1651100,1651000,1651100,33,1651100,1651200,1651100,1651200,33
8463,41239,1651100,1651100,1651100,1651100,25,1651200,1651300,1651200,1651300,25
8464,41240,1651100,1651100,1651100,1651100,11,1651300,1651300,1651300,1651300,11
8465,41241,1651100,1651100,1651100,1651100,3,1651300,1651300,1651300,1651300,3
8466,41242,1651100,1651100,1651100,1651100,2,1651300,1651300,1651300,1651300,2
8467,41243,1651100,1651100,1651100,1651100,19,1651300,1651300,1651200,1651200,19
8468,41244,1651100,1651100,1651100,1651100,6,1651200,1651200,1651200,1651200,6
8469,41245,1651100,1651100,1651000,1651100,15,1651200,1651200,1651200,1651200,15
8470,41246,1651100,1651100,1651100,1651100,1,1651200,1651200,1651200,1651200,1
8471,41247,1651100,1651000,1651000,1651000,19,1651200,1651200,1651200,1651200,19
8472,41248,1651000,1651100,1651000,1651100,14,1651200,1651200,1651200,1651200,14
8473,41249,1651100,1651100,1651100,1651100,5,1651200,1651200,1651200,1651200,5
8474,41250,1651000,1651000,1651000,1651000,21,1651200,1651200,1651200,1651200,21
8475,41251,1651000,1651000,1651000,1651000,1,1651200,1651200,1651200,1651200,1
8476,41252,1651000,1651000,1651000,1651000,1,1651200,1651200,1651200,1651200,1
8477,41253,1651000,1651100,1651000,1651100,23,1651200,1651200,1651200,1651200,23
8478,41254,1651100,1651100,1651100,1651100,6,1651200,1651200,1651200,1651200,6
8479,41255,1651100,1651100,1651100,1651100,1,1651200,1651200,1651200,1651200,1
8480,41256,1651100,1651100,1651100,1651100,2,1651200,1651200,1651200,1651200,2
8481,41258,1651100,1651100,1651100,1651100,3,1651200,1651200,1651200,1651200,3
8482,41259,1651100,1651100,1651100,1651100,1,1651200,1651200,1651200,1651200,1
8483,41260,1651100,1651100,1651100,1651100,23,1651200,1651300,1651300,1651300,23
8484,41261,1651100,1651100,1651100,1651100,7,1651300,1651300,1651300,1651300,7
8485,41262,1651100,1651100,1651100,1651100,17,1651200,1651200,1651200,1651200,17
8486,41263,1651100,1651100,1651100,1651100,2,1651200,1651200,1651200,1651200,2
8487,41264,1651100,1651100,1651100,1651100,5,1651200,1651200,1651200,1651200,5
8488,41265,1651100,1651100,1651100,1651100,5,1651200,1651200,1651200,1651200,5
8489,41266,1651100,1651100,1651100,1651100,5,1651200,1651200,1651200,1651200,5
8490,41269,1651100,1651100,1651100,1651100,10,1651200,1651200,1651200,1651200,10
8491,41270,1651100,1651100,1651100,1651100,4,1651200,1651200,1651200,1651200,4
8492,41271,1651100,1651100,1651100,1651100,5,1651100,1651100,1651100,1651100,5
8493,41272,1651100,1651100,1650900,1650900,18,1651100,1651100,1651100,1651100,18
8494,41273,1650900,1650900,1650900,1650900,2,1651000,1651000,1651000,1651000,2
8495,41274,1650900,1650900,1650900,1650900,1,1651000,1651000,1651000,1651000,1
8496,41275,1650900,1650900,1650900,1650900,2,1651000,1651000,1651000,1651000,2
8497,41276,1650900,1651000,1650900,1651000,10,1651000,1651000,1651000,1651000,10
8498,41277,1651000,1651000,1651000,1651000,4,1651000,1651000,1651000,1651000,4
8499,41278,1651000,1651000,1651000,1651000,9,1651200,1651200,1651200,1651200,9
8500,41279,1651000,1651100,1651000,1651000,24,1651200,1651200,1651200,1651200,24
8501,41280,1651000,1651000,1651000,1651000,24,1651100,1651100,1651100,1651100,24
8502,41282,1651000,1651000,1651000,1651000,3,1651100,1651100,1651100,1651100,3
8503,41283,1651000,1651000,1651000,1651000,2,1651100,1651100,1651100,1651100,2
8504,41284,1651000,1651000,1651000,1651000,6,1651100,1651100,1651100,1651100,6
8505,41285,1651000,1651000,1651000,1651000,8,1651100,1651100,1651100,1651100,8
8506,41286,1651000,1651000,1651000,1651000,1,1651100,1651100,1651100,1651100,1
8507,41287,1651000,1651000,1651000,1651000,1,1651100,1651100,1651100,1651100,1
8508,41288,1650900,1650900,1650900,1650900,17,1651100,1651100,1651100,1651100,17
