,time_diff,close,volume,match_hr,match_min,match_sec,match_ms,time_in_ms
1837,310,1794400,1,8,47,27,180,31647180
1838,311,1794300,1,8,47,27,491,31647491
1839,102,1794200,1,8,47,27,593,31647593
1840,99,1794200,1,8,47,27,692,31647692
1841,111,1794200,1,8,47,27,803,31647803
1842,1381,1794200,2,8,47,29,184,31649184
1843,1814,1794300,1,8,47,30,998,31650998
1844,32,1794200,1,8,47,31,30,31651030
1845,18,1794200,1,8,47,31,48,31651048
1846,559,1794300,1,8,47,31,607,31651607
1847,19,1794300,1,8,47,31,626,31651626
1848,1,1794400,2,8,47,31,627,31651627
1849,0,1794400,1,8,47,31,627,31651627
1850,275,1794300,9,8,47,31,902,31651902
1851,0,1794300,9,8,47,31,902,31651902
1853,2,1794100,3,8,47,31,904,31651904
1854,35,1794000,1,8,47,31,939,31651939
1855,138,1794100,1,8,47,32,77,31652077
1856,173,1794100,1,8,47,32,250,31652250
1857,352,1794000,1,8,47,32,602,31652602
1858,1,1794000,1,8,47,32,603,31652603
1859,105,1794000,5,8,47,32,708,31652708
1860,173,1794000,1,8,47,32,881,31652881
1861,460,1794000,1,8,47,33,341,31653341
1862,193,1794000,1,8,47,33,534,31653534
1863,110,1794000,2,8,47,33,644,31653644
1864,1,1794100,2,8,47,33,645,31653645
1865,331,1794100,1,8,47,33,976,31653976
1867,453,1794200,15,8,47,34,429,31654429
1869,136,1794200,1,8,47,34,565,31654565
1870,171,1794200,1,8,47,34,736,31654736
1871,316,1794200,1,8,47,35,52,31655052
1872,109,1794200,1,8,47,35,161,31655161
1873,529,1794300,1,8,47,35,690,31655690
1874,476,1794200,1,8,47,36,166,31656166
1875,63,1794300,1,8,47,36,229,31656229
1876,199,1794300,1,8,47,36,428,31656428
1877,223,1794300,1,8,47,36,651,31656651
1878,513,1794300,1,8,47,37,164,31657164
1879,62,1794300,1,8,47,37,226,31657226
1880,756,1794300,1,8,47,37,982,31657982
1881,183,1794300,1,8,47,38,165,31658165
1882,444,1794300,1,8,47,38,609,31658609
1883,970,1794300,1,8,47,39,579,31659579
1884,493,1794400,5,8,47,40,72,31660072
1886,43,1794300,1,8,47,40,115,31660115
1887,55,1794500,1,8,47,40,170,31660170
1888,0,1794500,1,8,47,40,170,31660170
1889,152,1794300,2,8,47,40,322,31660322
1890,0,1794500,1,8,47,40,322,31660322
1891,1,1794500,1,8,47,40,323,31660323
1892,402,1794300,1,8,47,40,725,31660725
1893,223,1794400,1,8,47,40,948,31660948
1894,16,1794400,1,8,47,40,964,31660964
1895,210,1794400,3,8,47,41,174,31661174
1896,1,1794400,6,8,47,41,175,31661175
1897,15,1794400,1,8,47,41,190,31661190
1898,1,1794400,1,8,47,41,191,31661191
1899,132,1794400,1,8,47,41,323,31661323
